29-01-2026 14:47:25 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): raw.githubusercontent.com:443
29-01-2026 14:47:32 | DEBUG | urllib3.connectionpool | https://raw.githubusercontent.com:443 "GET /rowanz/hellaswag/master/data/hellaswag_train.jsonl HTTP/1.1" 200 12105379
29-01-2026 15:10:36 | INFO | __main__ | Step 0, Validation Loss 216.4695
29-01-2026 15:11:19 | INFO | __main__ | Step 0, Loss: 10.8249
29-01-2026 15:12:55 | INFO | __main__ | Step 1, Loss: 10.8001
29-01-2026 15:14:30 | INFO | __main__ | Step 2, Loss: 10.7565
29-01-2026 15:16:06 | INFO | __main__ | Step 3, Loss: 10.7000
29-01-2026 15:17:44 | INFO | __main__ | Step 4, Loss: 10.6505
29-01-2026 15:19:25 | INFO | __main__ | Step 5, Loss: 10.6001
29-01-2026 15:21:07 | INFO | __main__ | Step 6, Loss: 10.5549
29-01-2026 15:22:51 | INFO | __main__ | Step 7, Loss: 10.5118
29-01-2026 15:24:32 | INFO | __main__ | Step 8, Loss: 10.4730
29-01-2026 15:26:13 | INFO | __main__ | Step 9, Loss: 10.4421
29-01-2026 15:27:54 | INFO | __main__ | Step 10, Loss: 10.4086
29-01-2026 15:29:35 | INFO | __main__ | Step 11, Loss: 10.3859
29-01-2026 15:31:16 | INFO | __main__ | Step 12, Loss: 10.3533
29-01-2026 15:32:57 | INFO | __main__ | Step 13, Loss: 10.3328
29-01-2026 15:34:38 | INFO | __main__ | Step 14, Loss: 10.3039
29-01-2026 15:36:19 | INFO | __main__ | Step 15, Loss: 10.2765
29-01-2026 15:38:00 | INFO | __main__ | Step 16, Loss: 10.2505
29-01-2026 15:39:41 | INFO | __main__ | Step 17, Loss: 10.2176
29-01-2026 15:41:22 | INFO | __main__ | Step 18, Loss: 10.1933
29-01-2026 15:43:03 | INFO | __main__ | Step 19, Loss: 10.1520
29-01-2026 15:44:44 | INFO | __main__ | Step 20, Loss: 10.1262
29-01-2026 15:46:25 | INFO | __main__ | Step 21, Loss: 10.0826
29-01-2026 15:48:06 | INFO | __main__ | Step 22, Loss: 10.0470
29-01-2026 15:49:47 | INFO | __main__ | Step 23, Loss: 10.0043
29-01-2026 15:51:26 | INFO | __main__ | Step 24, Loss: 9.9586
29-01-2026 15:53:05 | INFO | __main__ | Step 25, Loss: 9.9172
29-01-2026 15:54:44 | INFO | __main__ | Step 26, Loss: 9.8614
29-01-2026 15:56:22 | INFO | __main__ | Step 27, Loss: 9.8216
29-01-2026 15:58:01 | INFO | __main__ | Step 28, Loss: 9.7563
29-01-2026 15:59:39 | INFO | __main__ | Step 29, Loss: 9.7133
29-01-2026 16:01:17 | INFO | __main__ | Step 30, Loss: 9.6514
29-01-2026 16:03:00 | INFO | __main__ | Step 31, Loss: 9.5906
29-01-2026 16:04:47 | INFO | __main__ | Step 32, Loss: 9.5330
29-01-2026 16:06:33 | INFO | __main__ | Step 33, Loss: 9.4634
29-01-2026 16:08:20 | INFO | __main__ | Step 34, Loss: 9.4079
29-01-2026 16:10:06 | INFO | __main__ | Step 35, Loss: 9.3266
29-01-2026 16:11:57 | INFO | __main__ | Step 36, Loss: 9.2728
29-01-2026 16:13:46 | INFO | __main__ | Step 37, Loss: 9.1861
29-01-2026 16:15:34 | INFO | __main__ | Step 38, Loss: 9.1219
